Name,City,Google Maps Location Link
Gopuram Cinemas,Madurai,https://maps.google.com/?cid=3070607041076325763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
Vetri Cinemas Madurai (Villapuram),Madurai,https://maps.google.com/?cid=12866711132421746269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
INOX,Madurai,https://maps.google.com/?cid=15963761062080826273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
RADIANCE CINEMA,Madurai,https://maps.google.com/?cid=7890722090529471187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
INOX Nehru Place,Delhi,https://maps.google.com/?cid=7230458305155321968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
"PVR Pacific Mall, Subhash Nagar",Delhi,https://maps.google.com/?cid=16786514565774957279&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
"PVR Plaza-CP,Delhi",Delhi,https://maps.google.com/?cid=7761637295646094912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
PVR Directors Cut Ambience Mall Delhi,Delhi,
Vetri Cinemas (Mattuthavani),Madurai,https://maps.google.com/?cid=2072975806288411970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
Priya Complex,Madurai,https://maps.google.com/?cid=4833302706699672360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ
